Date,Event,Distance,Entered?,Result,Position
17-Nov-2004,<a href='http://www.fleetandcrookhamac.hampshire.org.uk/FleetPeter.htm'>Fleet 10k</a>,10k,Yes,48:05:00,216/355
05-Dec-2004,<a href='http://www.gosportroadrunners.org.uk/half.php'>Gosport 1/2 Marathon</a>,21.1k,Yes,01:41:40,351/849
01-Jan-2005,<a href='http://www.serpentine.org.uk/events/nyd10k/'>New Years Day 10k</a>,10k,Yes,45:48:00,169/439
10-Apr-2005,<a href='http://www.parismarathon.com/marathon/2005/us/index.html'>Paris Marathon</a>,42.2k,Yes,03:49:03,12029/28863
09-Jul-2005,<a href='http://www.srichinmoyraces.org/uk/races/london/'>Sri Chinmoy 10k</a>,10k,Yes,44:21:00,24/80
02-Sep-2005,<a href='http://www.tri247.com/results_2535.html'>Dorney Triathlon</a>,0.8k/30k/7.5k,Yes,1:59:58,181/286
02-Nov-2005,<a href='http://www.rainforestfoundationuk.org/RF10K'>Rainforest 10k</a>,10k,Yes,42:03:00,??/??
30-Nov-2005,<a href='http://www.serpentine.org.uk/pages/duathlon.html'>Jeckyl & Hyde Park Halloween Duathlon</a>,7.6k/20.8k/4.2k,Yes,01:32:37,56/109
23-Apr-2006,<a href='http://www.london-marathon.co.uk/'>London Marathon</a>,42.2k,Yes,03:41:41,6968/29999
14-May-2006,<a href='http://www.stalbansstriders.com/stalbans10k.htm'>St Albans 10k</a>,10k,Yes,43:38:00,76/410
18-Jun-2006,<a href='http://www.londonheathside.org.uk/competition/midsummer_10k/index.php'>Hampstead Midsummer 10k</a>,10k,Yes,43:47:00,71/402
25-Jun-2006,<a href='http://www.humanrace.co.uk/results06/dorney.html'>Dorney Steelman Triathlon</a>,1.5k/40k/10k,Yes,02:44:22,221/329
05-Aug-2006,<a href='http://www.thelondontriathlon.com/'>London Triathlon</a>,1.5k/40k/10k,Yes,02:28:19,153/418
19-Aug-2006,<a href='http://www.londonpriderun.org/'>London Pride 10k</a>,10k,Yes,40:32:00,48/412
24-Sep-2006,<a href='http://www.allabouttriathlons.co.uk/'>Xtreme Terrain Triathlon</a>,1.5k/24k/10k,Yes,02:39:13,56/149
22-Oct-2006,<a href='http://www.serpentine.org.uk/pages/duathlon.html'>Jeckyl & Hyde Park Halloween Duathlon</a>,7.6k/20.8k/4.2k,Yes,01:25:32,33/121
19-Nov-2006,<a href='http://www.riverside-runners.com/default.asp'>St Neots 1/2 marathon</a>,21.1k,Yes,01:30:24,112/902
01-Jan-2007,<a href='http://www.serpentine.org.uk/events/nyd10k/'>New year's day 10k</a>,10k,Yes,40:41:00,65/458
11-Mar-2007,<a href='http://www.fleethalfmarathon.com/'>Fleet 1/2 marathon</a>,21.1k,Yes,01:28:17,171/2166
22-Mar-2007,<a href='http://www.swimathon.org/'>Swimathon</a>,5k,Yes,02:07,N/A
07-Apr-2007,<a href='http://www.regentsparkraces.org/'>Regents Park 10k</a>,10k,Yes,40:12:00,23/222
15-Apr-2007,<a href='http://www.howesplace.com/ctc/duathlon/du_info.php'>Cambridge Duathlon</a>,7.5k/40k/7.5k,Yes,02:21:13,145/267
06-May-2007,<a href='http://www.bucs.org.uk/homepage.asp'>BUSA championships</a>,750m/25k/5k,Yes,01:25:20,131/221
13-May-2007,<a href='http://www.pgix.net/bigcow/Event.asp?EventID=98'>Big cow sprint tri</a>,750m/20k/5k,Yes,01:14:12,58/203
17-Jun-2007,<a href='http://www.humanrace.co.uk/windsor/'>Windsor olympic tri</a>,1.5k/42k/10k,Yes,02:34:34,444/1591
01-Jul-2007,<a href='http://www.everydaycycling.com/news.aspx?fid=843'>British Cyclosportive</a>,195k,Yes,08:43:52,3029/5000
08-Jul-2007,<a href='http://www.pgix.net/bigcow/event.asp?EventID=97'>Cowman (1/2 im)</a>,1.9k/92k/21k,Yes,05:32:33,86/218
22-Jul-2007,<a href='http://www.pgix.net/bigcow/event.asp?EventID=96'>Milton Keynes olympic tri</a>,1.5k/35k/9.3k,Yes,02:14:07,203/563
12-Aug-2007,<a href='https://www.britishcycling.org.uk/events/details/13928/Ian-Longbotham-Memorial-25-mile-Time-Trial'>Ian Longbotham 25m TT</a>,40.2k,Yes,1:11:??,??/??
18-Aug-2007,<a href='http://www.londonpriderun.org/'>London Pride 10k</a>,10k,Yes,39:49:00,38/457
22-Sep-2007,<a href='http://www.racenewforest.co.uk/'>New Forest middle distance</a>,1.9k/92k/21k,Yes,05:43:53,111/321
28-Sep-2007,<a href='http://www.serpentine.org.uk/rdb/showrace.php?race=3814'>Serpentine Last Friday 5k</a>,5k,Yes,18:59,27/200
28-Oct-2007,<a href='hhttp://www.venicemarathon.com/'>Venice Marathon</a>,42.2k,Yes,03:32:09,1386/5229
18-Nov-2007,<a href='http://www.dbmax.co.uk/Chilly.htm'>BUSA (Chilly) Duathlon</a>,2m/10m/2m,Yes,53:32:00,67/226
01-Jan-2008,<a href='http://www.serpentine.org.uk/events/nyd10k/'>New year's day 10k</a>,10k,Yes,15:41:00,36/433
16-Mar-2008,<a href='http://www.fleethalfmarathon.com/'>Fleet 1/2 marathon</a>,21.1k,Yes,1:27:29,150/1966
